<<<<<<< HEAD
id_записи;id_клиента;id_тренировки;дата;время;статус
1;1;1;2025-06-01;10:00;Посетил
2;2;2;2025-06-01;11:00;Посетил
3;3;3;2025-06-01;18:00;Посетил
4;4;4;2025-06-02;19:00;Не пришёл
5;5;5;2025-06-02;12:00;Посетил
6;1;6;2025-06-03;10:00;Посетил
7;2;7;2025-06-03;20:00;Записан
8;3;8;2025-06-04;11:00;Посетил
9;4;1;2025-06-04;10:00;Записан
10;5;2;2025-06-05;11:00;Записан
11;1;3;2025-06-05;18:00;Записан
12;2;4;2025-06-06;19:00;Записан
13;3;5;2025-06-06;12:00;Записан
14;4;6;2025-06-07;10:00;Записан
15;5;7;2025-06-07;20:00;Записан
=======
id_записи;id_клиента;id_тренировки;дата;время;статус
1;1;1;2025-06-01;10:00;Посетил
2;2;2;2025-06-01;11:00;Посетил
3;3;3;2025-06-01;18:00;Посетил
4;4;4;2025-06-02;19:00;Не пришёл
5;5;5;2025-06-02;12:00;Посетил
6;1;6;2025-06-03;10:00;Посетил
7;2;7;2025-06-03;20:00;Записан
8;3;8;2025-06-04;11:00;Посетил
9;4;1;2025-06-04;10:00;Записан
10;5;2;2025-06-05;11:00;Записан
11;1;3;2025-06-05;18:00;Записан
12;2;4;2025-06-06;19:00;Записан
13;3;5;2025-06-06;12:00;Записан
14;4;6;2025-06-07;10:00;Записан
15;5;7;2025-06-07;20:00;Записан
>>>>>>> 3b4f349933548da8251d14636178f1a05d9906f0
