<<<<<<< HEAD
id_òğåíèğîâêè;íàçâàíèå;òğåíåğ;ìàêñèìóì_ó÷àñòíèêîâ
1;Éîãà;Åëåíà Ñìèğíîâà;15
2;Ïèëàòåñ;Àííà Ïåòğîâà;12
3;Ñèëîâàÿ;Äìèòğèé Èâàíîâ;10
4;Êğîññôèò;Ìàêñèì Ñîêîëîâ;8
5;Òàíöû;Îëüãà Êóçíåöîâà;20
6;Ğàñòÿæêà;Íàòàëüÿ Ìîğîçîâà;15
7;Áîêñ;Àëåêñåé Âîëêîâ;10
8;Àığîáèêà;Şëèÿ Íîâèêîâà;15
=======
id_òğåíèğîâêè;íàçâàíèå;òğåíåğ;ìàêñèìóì_ó÷àñòíèêîâ
1;Éîãà;Åëåíà Ñìèğíîâà;15
2;Ïèëàòåñ;Àííà Ïåòğîâà;12
3;Ñèëîâàÿ;Äìèòğèé Èâàíîâ;10
4;Êğîññôèò;Ìàêñèì Ñîêîëîâ;8
5;Òàíöû;Îëüãà Êóçíåöîâà;20
6;Ğàñòÿæêà;Íàòàëüÿ Ìîğîçîâà;15
7;Áîêñ;Àëåêñåé Âîëêîâ;10
8;Àığîáèêà;Şëèÿ Íîâèêîâà;15
>>>>>>> 3b4f349933548da8251d14636178f1a05d9906f0
